sample_id	cut_off_reads	unmapped_ratios	cut_off_unmapped	ercc_percentage	cut_off_ercc	cut_off_genes	ercc_conversion	conversion	conversion_outlier	filter_all
20170905-F06	TRUE	0.314956936391317	TRUE	0.0892094259505365	TRUE	TRUE	0.0315111547125936	0.0838899735323261	FALSE	TRUE
20170905-F07	TRUE	0.316743815515928	TRUE	0.155749686760407	TRUE	TRUE	0.0264374731413838	0.0834619857802685	FALSE	TRUE
20170905-F08	FALSE	0.376782434940755	TRUE	0.301300534583332	FALSE	FALSE	0.0304322706024476	0.131737856117129	FALSE	FALSE
20170905-F09	TRUE	0.294299141433552	TRUE	0.083872382414209	TRUE	TRUE	0.0323077740581327	0.0835233693160749	FALSE	FALSE
20170905-F10	TRUE	0.299482893402765	TRUE	0.102689910698797	TRUE	TRUE	0.02665927065211	0.0747059966861482	FALSE	TRUE
20170905-F11	TRUE	0.302284984128495	TRUE	0.120171529682905	TRUE	TRUE	0.0271693565290296	0.0782354773306857	FALSE	TRUE
20170905-F12	TRUE	0.326162121695249	TRUE	0.120920653600688	TRUE	TRUE	0.0271212971942899	0.0748483365605471	FALSE	TRUE
20170905-G01	TRUE	0.258132151009635	TRUE	0.0712603645995342	TRUE	TRUE	0.038185291770453	0.0900807809037323	FALSE	TRUE
20170905-G02	TRUE	0.280815029652018	TRUE	0.0834185814958531	TRUE	TRUE	0.0302898076433584	0.0763072848778267	FALSE	TRUE
20170905-G03	TRUE	0.380231292317756	TRUE	0.297597387082969	FALSE	FALSE	0.0271553093129124	0.113297822633399	FALSE	FALSE
20170905-G04	TRUE	0.3022331192479	TRUE	0.138861162165115	TRUE	TRUE	0.0275680359321674	0.0842784122673908	FALSE	TRUE
20170905-G05	TRUE	0.322429975285395	TRUE	0.115705208231561	TRUE	TRUE	0.0261295846005895	0.0788943854358905	FALSE	TRUE
20170905-G06	TRUE	0.405207928730651	TRUE	0.151697622332139	TRUE	TRUE	0.0281024169288752	0.101551675079177	FALSE	TRUE
20170905-G07	TRUE	0.246397022360315	TRUE	0.0633789529939355	TRUE	TRUE	0.0469123491369829	0.103352978126107	FALSE	TRUE
20170905-G08	TRUE	0.407040702521236	TRUE	0.250977849656951	FALSE	FALSE	0.0284630160577587	0.112416373378991	FALSE	FALSE
20170905-G09	TRUE	0.245016535545475	TRUE	0.11084864472366	TRUE	TRUE	0.0370409855484482	0.0927296415783316	FALSE	TRUE
20170905-G10	TRUE	0.295749033559322	TRUE	0.106534788540246	TRUE	TRUE	0.0283006787040594	0.0771040171070719	FALSE	TRUE
20170905-G11	TRUE	0.287504108869691	TRUE	0.106701503127608	TRUE	TRUE	0.0286858319867891	0.0777884965397502	FALSE	TRUE
20170905-G12	TRUE	0.387385801201166	TRUE	0.184173718665176	FALSE	TRUE	0.029077227173423	0.103092823873303	FALSE	FALSE
20170905-H01	FALSE	0.404472390041736	TRUE	0.366296753483443	FALSE	FALSE	0.026190356730721	0.124769799647147	FALSE	FALSE
20170905-H02	FALSE	0.390753190252501	TRUE	0.321662716611776	FALSE	FALSE	0.0303526147074303	0.130362369812348	FALSE	FALSE
20170905-H03	TRUE	0.265628067263635	TRUE	0.107754489733155	TRUE	TRUE	0.0271801807033992	0.0764404004880284	FALSE	TRUE
20170905-H04	TRUE	0.302252246708144	TRUE	0.0849062497473509	TRUE	TRUE	0.0278907913644154	0.0756421506703568	FALSE	TRUE
20170905-H05	TRUE	0.27566906974786	TRUE	0.0875235869329415	TRUE	TRUE	0.0308565763136727	0.0780978945167332	FALSE	TRUE
20170905-H06	TRUE	0.284249184735086	TRUE	0.111801212478932	TRUE	TRUE	0.0274851946760827	0.0771265031316929	FALSE	TRUE
20170905-H07	TRUE	0.313694089709566	TRUE	0.168746296866251	TRUE	TRUE	0.0260889128146619	0.080822074277136	FALSE	TRUE
20170905-H08	TRUE	0.361582356467519	TRUE	0.255636639981678	FALSE	FALSE	0.0256635798698496	0.102885769188813	FALSE	FALSE
20170905-H09	TRUE	0.296818083077625	TRUE	0.0646969059553878	TRUE	TRUE	0.0382594298877052	0.106822785829107	FALSE	FALSE
20170905-H10	TRUE	0.275134206742291	TRUE	0.135428433512933	TRUE	TRUE	0.0257148902234591	0.0725756679282239	FALSE	TRUE
20170905-H11	FALSE	0.383782848971522	TRUE	0.405503219077379	FALSE	FALSE	0.0303180555125146	0.123355622414971	FALSE	FALSE
20170905-H12	TRUE	0.29425003592433	TRUE	0.0901888706374166	TRUE	TRUE	0.0307520211521839	0.0814177549088115	FALSE	TRUE
