sample_id	cut_off_reads	unmapped_ratios	cut_off_unmapped	ercc_percentage	cut_off_ercc	cut_off_genes	ercc_conversion	conversion	conversion_outlier	filter_all
20170908-A01	TRUE	0.345619572670177	TRUE	0.0399653872019868	TRUE	TRUE	0.0561681598897312	0.0978638003805715	FALSE	TRUE
20170908-A02	TRUE	0.345952321799873	TRUE	0.0268370862135834	TRUE	TRUE	0.0842011306158881	0.1310392782474	FALSE	TRUE
20170908-A03	TRUE	0.334801798693931	TRUE	0.033875993799463	TRUE	TRUE	0.0656237438027603	0.111560703149416	FALSE	TRUE
20170908-A04	TRUE	0.327760717382719	TRUE	0.0443501263590453	TRUE	TRUE	0.0478976407914764	0.0975264549534382	FALSE	TRUE
20170908-A05	TRUE	0.343397142893664	TRUE	0.024854365374287	TRUE	TRUE	0.0947751566531515	0.145421141722063	FALSE	FALSE
20170908-A06	TRUE	0.328063012686211	TRUE	0.0356996197580455	TRUE	TRUE	0.067184690034271	0.116427686671976	FALSE	TRUE
20170908-A07	TRUE	0.324772992149178	TRUE	0.0399956501727286	TRUE	TRUE	0.0588049320265571	0.107888918462378	FALSE	TRUE
20170908-A08	TRUE	0.359804987161917	TRUE	0.0580456553030769	TRUE	TRUE	0.0502583123592529	0.0964914429620629	FALSE	TRUE
20170908-A09	TRUE	0.307769365639962	TRUE	0.0281516983914559	TRUE	TRUE	0.0938901778808971	0.145528977603801	FALSE	TRUE
20170908-A10	TRUE	0.323984511002073	TRUE	0.0304599833352593	TRUE	TRUE	0.0767940577452977	0.127391101337511	FALSE	TRUE
20170908-A11	TRUE	0.314500836931211	TRUE	0.0452939381964548	TRUE	TRUE	0.0596794361714221	0.103770531159887	FALSE	TRUE
20170908-A12	TRUE	0.400545010000148	TRUE	0.0366058127040649	TRUE	TRUE	0.0722844583096994	0.133436894982829	FALSE	FALSE
20170908-B01	FALSE	0.552529641664441	FALSE	0.26972169910023	FALSE	FALSE	0.0520644772002414	0.145796852282255	FALSE	FALSE
20170908-B02	TRUE	0.3127278744882	TRUE	0.0377267384358867	TRUE	TRUE	0.0639947843392925	0.108057304400361	FALSE	TRUE
20170908-B03	TRUE	0.31299183139453	TRUE	0.0303820127786914	TRUE	TRUE	0.0687513310144104	0.116140256423377	FALSE	TRUE
20170908-B04	TRUE	0.370444052096014	TRUE	0.0585266314723637	TRUE	TRUE	0.0453204789575629	0.0998571397293865	FALSE	FALSE
20170908-B05	TRUE	0.337408330166237	TRUE	0.0360861791208597	TRUE	TRUE	0.0647893772893773	0.111152756036677	FALSE	TRUE
20170908-B06	TRUE	0.320648910723803	TRUE	0.0468625350191826	TRUE	TRUE	0.0512349603258694	0.0943717507946363	FALSE	TRUE
20170908-B07	TRUE	0.297683400626118	TRUE	0.0226701447812681	TRUE	TRUE	0.107048827190043	0.154878172370374	TRUE	TRUE
20170908-B08	TRUE	0.297788767875315	TRUE	0.0294148432437821	TRUE	TRUE	0.0798949419639075	0.122470364791407	FALSE	TRUE
20170908-B09	TRUE	0.32847748032352	TRUE	0.0347442301612393	TRUE	TRUE	0.0682827400451336	0.116846643776374	FALSE	TRUE
20170908-B10	TRUE	0.33118257616726	TRUE	0.0304025672269862	TRUE	TRUE	0.0838519624927392	0.139118622190068	FALSE	TRUE
20170908-B11	TRUE	0.387794933221362	TRUE	0.046010089483544	TRUE	TRUE	0.0528328209367815	0.103917877888858	FALSE	TRUE
20170908-B12	TRUE	0.413085416774906	TRUE	0.0309618294292294	TRUE	TRUE	0.0732450530434128	0.124858602894418	FALSE	TRUE
20170908-C01	TRUE	0.304744378384313	TRUE	0.0262677222575483	TRUE	TRUE	0.0885826771653543	0.130919939928385	FALSE	TRUE
20170908-C02	TRUE	0.322830712201538	TRUE	0.0274611717990332	TRUE	TRUE	0.076317793383535	0.122134741103553	FALSE	TRUE
20170908-C03	TRUE	0.287149875518004	TRUE	0.0386124804481261	TRUE	TRUE	0.0646753436677391	0.106001269177209	FALSE	TRUE
20170908-C04	TRUE	0.370796245734315	TRUE	0.104753190748241	TRUE	FALSE	0.0436727238666167	0.103496277378463	FALSE	FALSE
20170908-C05	TRUE	0.316459924199275	TRUE	0.0567781930896162	TRUE	TRUE	0.0602761721258831	0.106660041298985	FALSE	TRUE
20170908-C06	TRUE	0.296968633664669	TRUE	0.0466575162990922	TRUE	TRUE	0.0604064986294043	0.106487308365235	FALSE	TRUE
20170908-C07	TRUE	0.253399420112475	TRUE	0.0255922181486008	TRUE	TRUE	0.143546208759406	0.175399556977104	TRUE	TRUE
20170908-C08	TRUE	0.284424207352359	TRUE	0.0412804544196998	TRUE	TRUE	0.0800956085672775	0.121571193176311	FALSE	TRUE
20170908-C09	TRUE	0.364749556462233	TRUE	0.101308800175237	TRUE	FALSE	0.0467953667953668	0.105403373952714	FALSE	FALSE
20170908-C10	TRUE	0.281690947585915	TRUE	0.0396631165057834	TRUE	TRUE	0.0668201922725445	0.106714885392444	FALSE	TRUE
20170908-C11	TRUE	0.278382289879931	TRUE	0.0364498334152603	TRUE	TRUE	0.0980580196595541	0.140923965918807	TRUE	TRUE
20170908-C12	FALSE	0.358986542299286	TRUE	0.203061922682176	FALSE	FALSE	0.0498132704349535	0.108749668817266	FALSE	FALSE
20170908-D01	FALSE	0.519498437091896	FALSE	0.132903152274451	TRUE	FALSE	0.0620423510785672	0.145704404805242	FALSE	FALSE
20170908-D02	TRUE	0.366821973131238	TRUE	0.029836751102417	TRUE	TRUE	0.0690349689203737	0.119535486296461	FALSE	TRUE
20170908-D03	TRUE	0.399410181164867	TRUE	0.0478530455895298	TRUE	TRUE	0.0508136244188397	0.104390284808197	FALSE	FALSE
20170908-D04	TRUE	0.40020391701993	TRUE	0.0379410050447902	TRUE	TRUE	0.0561816147780294	0.108305052090229	FALSE	TRUE
20170908-D05	TRUE	0.382995278802982	TRUE	0.0372072754185605	TRUE	TRUE	0.064581561211804	0.120226610692797	FALSE	TRUE
20170908-D06	TRUE	0.420200635659166	TRUE	0.0490737201415045	TRUE	TRUE	0.0504068267513396	0.105274075477835	FALSE	TRUE
20170908-D07	TRUE	0.351186263975757	TRUE	0.0379016253854024	TRUE	TRUE	0.0567080351481112	0.104357489785088	FALSE	TRUE
20170908-D08	FALSE	0.559245237451613	FALSE	0.0880717550217307	TRUE	FALSE	0.0668811198699141	0.148430511645692	FALSE	FALSE
20170908-D09	TRUE	0.373557182567632	TRUE	0.0349454836450935	TRUE	TRUE	0.0568770573923	0.10679649904658	FALSE	TRUE
20170908-D10	TRUE	0.360890765385798	TRUE	0.0296505880220296	TRUE	TRUE	0.0627127190218076	0.108540213974931	FALSE	TRUE
20170908-D11	TRUE	0.367297282519547	TRUE	0.052252763871828	TRUE	TRUE	0.0465918487891317	0.0903769834804992	FALSE	TRUE
20170908-D12	FALSE	0.567415420036396	FALSE	0.128099242976617	TRUE	FALSE	0.0504931276885951	0.134649252954846	FALSE	FALSE
20170908-E01	TRUE	0.320864350018062	TRUE	0.0413470483233901	TRUE	TRUE	0.0728329869108477	0.130691250493785	FALSE	TRUE
20170908-E02	TRUE	0.341052665016684	TRUE	0.0315818486112727	TRUE	TRUE	0.0668303689938943	0.109498927797064	FALSE	TRUE
20170908-E03	TRUE	0.404579329609337	TRUE	0.0535804870560893	TRUE	TRUE	0.0494639539828555	0.096264127409075	FALSE	TRUE
20170908-E04	FALSE	0.616168829195661	FALSE	0.14325297866445	TRUE	FALSE	0.0748430900406584	0.163700597616139	FALSE	FALSE
