experiment 	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual 	image_label
20170905	G10	1	1.992598844	1:50000	NA18855	NA18870	18870_18855	00090
20170905	G11	1	2.298546936	1:50000	NA18855	NA18870	18870_18855	00089
20170905	G12	1	1.045407604	1:50000	NA18855	NA18870	18870_18855	00088
20170905	H01	1	0.54580467	1:50000	NA18855	NA18870	18870_18855	00043
20170905	H02	1	0.607171669	1:50000	NA18855	NA18870	18870_18855	00044
20170905	H03	1	2.581446782	1:50000	NA18855	NA18870	18870_18855	00045
20170905	H04	1	2.634504183	1:50000	NA18855	NA18870	18870_18855	00093
20170905	H05	1	2.488371231	1:50000	NA18855	NA18870	18870_18855	00092
20170905	H06	1	1.845025715	1:50000	NA18855	NA18870	18870_18855	00091
20170905	H07	1	1.332161793	1:50000	NA18855	NA18870	18870_18855	00046
20170905	H08	2	0.81567123	1:50000	NA18855	NA18870	18870_18855	00047
20170905	H09	3	1.893041054	1:50000	NA18855	NA18870	18870_18855	00048
20170905	H10	1	1.95393271	1:50000	NA18855	NA18870	18870_18855	00096
20170905	H11	1	0.451719436	1:50000	NA18855	NA18870	18870_18855	00095
20170905	H12	1	2.331087863	1:50000	NA18855	NA18870	18870_18855	00094
20170906	A01	1	1.580624916	1:50000	NA19098	NA19101	19101_19098	00003
20170906	A02	1	0.480203729	1:50000	NA19098	NA19101	19101_19098	00002
20170906	A03	1	1.358749936	1:50000	NA19098	NA19101	19101_19098	00001
20170906	A04	1	2.01170273	1:50000	NA19098	NA19101	19101_19098	00049
20170906	A05	3	1.745030752	1:50000	NA19098	NA19101	19101_19098	00050
20170906	A06	1	1.598700651	1:50000	NA19098	NA19101	19101_19098	00051
20170906	A07	1	1.489683816	1:50000	NA19098	NA19101	19101_19098	00006
20170906	A08	1	1.943385117	1:50000	NA19098	NA19101	19101_19098	00005
20170906	A09	1	0.539921667	1:50000	NA19098	NA19101	19101_19098	00004
20170906	A10	2	2.031814801	1:50000	NA19098	NA19101	19101_19098	00052
20170906	A11	5	1.337479099	1:50000	NA19098	NA19101	19101_19098	00053
20170906	A12	1	1.964340908	1:50000	NA19098	NA19101	19101_19098	00054
20170906	B01	1	2.057761393	1:50000	NA19098	NA19101	19101_19098	00009
20170906	B02	1	1.856244498	1:50000	NA19098	NA19101	19101_19098	00008
20170906	B03	1	2.085501961	1:50000	NA19098	NA19101	19101_19098	00007
20170906	B04	1	1.88314521	1:50000	NA19098	NA19101	19101_19098	00055
20170906	B05	1	1.884879687	1:50000	NA19098	NA19101	19101_19098	00056
20170906	B06	1	0.993522254	1:50000	NA19098	NA19101	19101_19098	00057
20170906	B07	1	2.048879288	1:50000	NA19098	NA19101	19101_19098	00012
20170906	B08	1	1.803041139	1:50000	NA19098	NA19101	19101_19098	00011
20170906	B09	1	2.097791739	1:50000	NA19098	NA19101	19101_19098	00010
20170906	B10	1	0.085200314	1:50000	NA19098	NA19101	19101_19098	00058
20170906	B11	1	0.413378459	1:50000	NA19098	NA19101	19101_19098	00059
