sample	experiment	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual	image_label
20170919-A01	20170919	A01	1	0.99488422	50x dilution	NA18511	NA19098	19098_18511	00003
20170919-A02	20170919	A02	1	1.577220641	50x dilution	NA18511	NA19098	19098_18511	00002
20170919-A03	20170919	A03	1	1.998812504	50x dilution	NA18511	NA19098	19098_18511	00001
20170919-A04	20170919	A04	1	0.716086767	50x dilution	NA18511	NA19098	19098_18511	00049
20170919-A05	20170919	A05	1	1.799050772	50x dilution	NA18511	NA19098	19098_18511	00050
20170919-A06	20170919	A06	2	1.292790458	50x dilution	NA18511	NA19098	19098_18511	00051
20170919-A07	20170919	A07	1	1.756674603	50x dilution	NA18511	NA19098	19098_18511	00006
20170919-A08	20170919	A08	1	1.957113542	50x dilution	NA18511	NA19098	19098_18511	00005
20170919-A09	20170919	A09	1	1.949188928	50x dilution	NA18511	NA19098	19098_18511	00004
20170919-A10	20170919	A10	1	2.157699172	50x dilution	NA18511	NA19098	19098_18511	00052
20170919-A11	20170919	A11	1	0.625393161	50x dilution	NA18511	NA19098	19098_18511	00053
20170919-A12	20170919	A12	4	1.020728786	50x dilution	NA18511	NA19098	19098_18511	00054
20170919-B01	20170919	B01	1	1.876248629	50x dilution	NA18511	NA19098	19098_18511	00009
20170919-B02	20170919	B02	1	1.777994029	50x dilution	NA18511	NA19098	19098_18511	00008
20170919-B03	20170919	B03	1	0.422411978	50x dilution	NA18511	NA19098	19098_18511	00007
20170919-B04	20170919	B04	1	2.101578569	50x dilution	NA18511	NA19098	19098_18511	00055
20170919-B05	20170919	B05	1	1.941234871	50x dilution	NA18511	NA19098	19098_18511	00056
20170919-B06	20170919	B06	1	1.888442593	50x dilution	NA18511	NA19098	19098_18511	00057
20170919-B07	20170919	B07	1	2.216585152	50x dilution	NA18511	NA19098	19098_18511	00012
20170919-B08	20170919	B08	1	1.88152564	50x dilution	NA18511	NA19098	19098_18511	00011
20170919-B09	20170919	B09	1	1.96324286	50x dilution	NA18511	NA19098	19098_18511	00010
20170919-B10	20170919	B10	1	1.967279344	50x dilution	NA18511	NA19098	19098_18511	00058
20170919-B11	20170919	B11	1	1.87272912	50x dilution	NA18511	NA19098	19098_18511	00059
20170919-B12	20170919	B12	1	2.10197559	50x dilution	NA18511	NA19098	19098_18511	00060
20170919-C01	20170919	C01	1	0.445761611	50x dilution	NA18511	NA19098	19098_18511	00015
20170919-C02	20170919	C02	1	1.787653746	50x dilution	NA18511	NA19098	19098_18511	00014
20170919-C03	20170919	C03	1	1.917101683	50x dilution	NA18511	NA19098	19098_18511	00013
20170919-C04	20170919	C04	1	0.611111139	50x dilution	NA18511	NA19098	19098_18511	00061
