sample	experiment	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual	image_label
20170921-A01	20170921	A01	1	0.988169961	50x dilution	NA18870	NA19160	18870_19160	00003
20170921-A02	20170921	A02	1	2.363851888	50x dilution	NA18870	NA19160	18870_19160	00002
20170921-A03	20170921	A03	1	2.000778668	50x dilution	NA18870	NA19160	18870_19160	00001
20170921-A04	20170921	A04	4	0.916729615	50x dilution	NA18870	NA19160	18870_19160	00049
20170921-A05	20170921	A05	1	1.679851936	50x dilution	NA18870	NA19160	18870_19160	00050
20170921-A06	20170921	A06	1	1.955476751	50x dilution	NA18870	NA19160	18870_19160	00051
20170921-A07	20170921	A07	1	1.693678318	50x dilution	NA18870	NA19160	18870_19160	00006
20170921-A08	20170921	A08	1	2.092385809	50x dilution	NA18870	NA19160	18870_19160	00005
20170921-A09	20170921	A09	1	1.369068874	50x dilution	NA18870	NA19160	18870_19160	00004
20170921-A10	20170921	A10	1	2.191205764	50x dilution	NA18870	NA19160	18870_19160	00052
20170921-A11	20170921	A11	1	1.782266259	50x dilution	NA18870	NA19160	18870_19160	00053
20170921-A12	20170921	A12	1	1.796779274	50x dilution	NA18870	NA19160	18870_19160	00054
20170921-B01	20170921	B01	1	2.309177984	50x dilution	NA18870	NA19160	18870_19160	00009
20170921-B02	20170921	B02	1	0.840075939	50x dilution	NA18870	NA19160	18870_19160	00008
20170921-B03	20170921	B03	1	2.137475354	50x dilution	NA18870	NA19160	18870_19160	00007
20170921-B04	20170921	B04	1	0.824962023	50x dilution	NA18870	NA19160	18870_19160	00055
20170921-B05	20170921	B05	1	2.324065726	50x dilution	NA18870	NA19160	18870_19160	00056
20170921-B06	20170921	B06	1	1.038051801	50x dilution	NA18870	NA19160	18870_19160	00057
20170921-B07	20170921	B07	1	1.501796453	50x dilution	NA18870	NA19160	18870_19160	00012
20170921-B08	20170921	B08	1	1.956137661	50x dilution	NA18870	NA19160	18870_19160	00011
20170921-B09	20170921	B09	1	2.706093319	50x dilution	NA18870	NA19160	18870_19160	00010
20170921-B10	20170921	B10	1	2.446182972	50x dilution	NA18870	NA19160	18870_19160	00058
20170921-B11	20170921	B11	1	1.637214615	50x dilution	NA18870	NA19160	18870_19160	00059
20170921-B12	20170921	B12	3	1.824720253	50x dilution	NA18870	NA19160	18870_19160	00060
20170921-C01	20170921	C01	1	1.417140147	50x dilution	NA18870	NA19160	18870_19160	00015
20170921-C02	20170921	C02	2	2.20977054	50x dilution	NA18870	NA19160	18870_19160	00014
20170921-C03	20170921	C03	1	1.867772793	50x dilution	NA18870	NA19160	18870_19160	00013
20170921-C04	20170921	C04	1	1.81597141	50x dilution	NA18870	NA19160	18870_19160	00061
20170921-C05	20170921	C05	1	2.153876026	50x dilution	NA18870	NA19160	18870_19160	00062
20170921-C06	20170921	C06	20	1.914790441	50x dilution	NA18870	NA19160	18870_19160	00063
20170921-C07	20170921	C07	4	0.304770905	50x dilution	NA18870	NA19160	18870_19160	00018
20170921-C08	20170921	C08	0	1.716249903	50x dilution	NA18870	NA19160	18870_19160	00017
20170921-C09	20170921	C09	1	2.353592	50x dilution	NA18870	NA19160	18870_19160	00016
20170921-C10	20170921	C10	1	1.302240612	50x dilution	NA18870	NA19160	18870_19160	00064
20170921-C11	20170921	C11	1	1.428073286	50x dilution	NA18870	NA19160	18870_19160	00065
20170921-C12	20170921	C12	1	2.475428179	50x dilution	NA18870	NA19160	18870_19160	00066
20170921-D01	20170921	D01	5	1.530169658	50x dilution	NA18870	NA19160	18870_19160	00021
20170921-D02	20170921	D02	1	2.336896971	50x dilution	NA18870	NA19160	18870_19160	00020
20170921-D03	20170921	D03	1	1.707385402	50x dilution	NA18870	NA19160	18870_19160	00019
20170921-D04	20170921	D04	1	1.08535816	50x dilution	NA18870	NA19160	18870_19160	00067
20170921-D05	20170921	D05	1	2.333008203	50x dilution	NA18870	NA19160	18870_19160	00068
20170921-D06	20170921	D06	1	1.340184357	50x dilution	NA18870	NA19160	18870_19160	00069
20170921-D07	20170921	D07	1	2.211874482	50x dilution	NA18870	NA19160	18870_19160	00024
20170921-D08	20170921	D08	1	2.354327668	50x dilution	NA18870	NA19160	18870_19160	00023
20170921-D09	20170921	D09	1	2.090471396	50x dilution	NA18870	NA19160	18870_19160	00022
20170921-D10	20170921	D10	1	2.447124657	50x dilution	NA18870	NA19160	18870_19160	00070
20170921-D11	20170921	D11	1	1.83488239	50x dilution	NA18870	NA19160	18870_19160	00071
20170921-D12	20170921	D12	1	1.847790872	50x dilution	NA18870	NA19160	18870_19160	00072
20170921-E01	20170921	E01	1	2.188390328	50x dilution	NA18870	NA19160	18870_19160	00025
20170921-E02	20170921	E02	1	2.345967681	50x dilution	NA18870	NA19160	18870_19160	00026
20170921-E03	20170921	E03	4	1.20220341	50x dilution	NA18870	NA19160	18870_19160	00027
20170921-E04	20170921	E04	1	1.650041063	50x dilution	NA18870	NA19160	18870_19160	00075
20170921-E05	20170921	E05	1	2.428183306	50x dilution	NA18870	NA19160	18870_19160	00074
20170921-E06	20170921	E06	1	0.652174083	50x dilution	NA18870	NA19160	18870_19160	00073
20170921-E07	20170921	E07	1	1.0910898	50x dilution	NA18870	NA19160	18870_19160	00028
20170921-E08	20170921	E08	1	0.976014382	50x dilution	NA18870	NA19160	18870_19160	00029
20170921-E09	20170921	E09	1	0.719291367	50x dilution	NA18870	NA19160	18870_19160	00030
20170921-E10	20170921	E10	1	1.30732553	50x dilution	NA18870	NA19160	18870_19160	00078
20170921-E11	20170921	E11	1	1.088903506	50x dilution	NA18870	NA19160	18870_19160	00077
20170921-E12	20170921	E12	1	1.823400726	50x dilution	NA18870	NA19160	18870_19160	00076
20170921-F01	20170921	F01	1	2.408575269	50x dilution	NA18870	NA19160	18870_19160	00031
20170921-F02	20170921	F02	1	1.12764005	50x dilution	NA18870	NA19160	18870_19160	00032
20170921-F03	20170921	F03	1	0.774210968	50x dilution	NA18870	NA19160	18870_19160	00033
20170921-F04	20170921	F04	1	2.45841087	50x dilution	NA18870	NA19160	18870_19160	00081
20170921-F05	20170921	F05	3	2.732652432	50x dilution	NA18870	NA19160	18870_19160	00080
20170921-F06	20170921	F06	1	1.805642087	50x dilution	NA18870	NA19160	18870_19160	00079
20170921-F07	20170921	F07	1	1.513000001	50x dilution	NA18870	NA19160	18870_19160	00034
20170921-F08	20170921	F08	1	2.578573747	50x dilution	NA18870	NA19160	18870_19160	00035
20170921-F09	20170921	F09	2	2.191259275	50x dilution	NA18870	NA19160	18870_19160	00036
20170921-F10	20170921	F10	1	2.561173317	50x dilution	NA18870	NA19160	18870_19160	00084
20170921-F11	20170921	F11	1	1.887360983	50x dilution	NA18870	NA19160	18870_19160	00083
20170921-F12	20170921	F12	3	1.475775431	50x dilution	NA18870	NA19160	18870_19160	00082
20170921-G01	20170921	G01	1	3.007657822	50x dilution	NA18870	NA19160	18870_19160	00037
20170921-G02	20170921	G02	1	2.523890297	50x dilution	NA18870	NA19160	18870_19160	00038
20170921-G03	20170921	G03	1	1.213294798	50x dilution	NA18870	NA19160	18870_19160	00039
20170921-G04	20170921	G04	1	1.305220121	50x dilution	NA18870	NA19160	18870_19160	00087
20170921-G05	20170921	G05	1	1.348140766	50x dilution	NA18870	NA19160	18870_19160	00086
20170921-G06	20170921	G06	1	1.578174175	50x dilution	NA18870	NA19160	18870_19160	00085
20170921-G07	20170921	G07	2	0.864282498	50x dilution	NA18870	NA19160	18870_19160	00040
20170921-G08	20170921	G08	1	1.263420812	50x dilution	NA18870	NA19160	18870_19160	00041
20170921-G09	20170921	G09	1	1.302327132	50x dilution	NA18870	NA19160	18870_19160	00042
20170921-G10	20170921	G10	1	2.508771341	50x dilution	NA18870	NA19160	18870_19160	00090
20170921-G11	20170921	G11	3	2.987757907	50x dilution	NA18870	NA19160	18870_19160	00089
20170921-G12	20170921	G12	1	2.542697392	50x dilution	NA18870	NA19160	18870_19160	00088
20170921-H01	20170921	H01	1	1.741991223	50x dilution	NA18870	NA19160	18870_19160	00043
20170921-H02	20170921	H02	1	2.031800883	50x dilution	NA18870	NA19160	18870_19160	00044
20170921-H03	20170921	H03	1	1.210670403	50x dilution	NA18870	NA19160	18870_19160	00045
20170921-H04	20170921	H04	2	1.44463588	50x dilution	NA18870	NA19160	18870_19160	00093
20170921-H05	20170921	H05	1	1.671289773	50x dilution	NA18870	NA19160	18870_19160	00092
20170921-H06	20170921	H06	1	2.203635226	50x dilution	NA18870	NA19160	18870_19160	00091
20170921-H07	20170921	H07	1	1.837909816	50x dilution	NA18870	NA19160	18870_19160	00046
20170921-H08	20170921	H08	1	1.493775796	50x dilution	NA18870	NA19160	18870_19160	00047
20170921-H09	20170921	H09	1	0.580204826	50x dilution	NA18870	NA19160	18870_19160	00048
20170921-H10	20170921	H10	1	1.280116918	50x dilution	NA18870	NA19160	18870_19160	00096
20170921-H11	20170921	H11	1	1.293513196	50x dilution	NA18870	NA19160	18870_19160	00095
20170921-H12	20170921	H12	4	1.338556595	50x dilution	NA18870	NA19160	18870_19160	00094
