sample	experiment	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual	image_label
20170920-A01	20170920	A01	1	2.327286298	50x dilution	NA18511	NA19160	19160_18511	00003
20170920-A02	20170920	A02	1	0.868670712	50x dilution	NA18511	NA19160	19160_18511	00002
20170920-A03	20170920	A03	1	2.179504804	50x dilution	NA18511	NA19160	19160_18511	00001
20170920-A04	20170920	A04	1	1.033884328	50x dilution	NA18511	NA19160	19160_18511	00049
20170920-A05	20170920	A05	1	0.761773098	50x dilution	NA18511	NA19160	19160_18511	00050
20170920-A06	20170920	A06	1	2.055165768	50x dilution	NA18511	NA19160	19160_18511	00051
20170920-A07	20170920	A07	1	2.397141089	50x dilution	NA18511	NA19160	19160_18511	00006
20170920-A08	20170920	A08	1	1.851001536	50x dilution	NA18511	NA19160	19160_18511	00005
20170920-A09	20170920	A09	1	2.300937312	50x dilution	NA18511	NA19160	19160_18511	00004
20170920-A10	20170920	A10	1	0.136985204	50x dilution	NA18511	NA19160	19160_18511	00052
20170920-A11	20170920	A11	1	2.273400084	50x dilution	NA18511	NA19160	19160_18511	00053
20170920-A12	20170920	A12	1	2.17639898	50x dilution	NA18511	NA19160	19160_18511	00054
20170920-B01	20170920	B01	1	2.491827395	50x dilution	NA18511	NA19160	19160_18511	00009
20170920-B02	20170920	B02	2	1.685542865	50x dilution	NA18511	NA19160	19160_18511	00008
20170920-B03	20170920	B03	3	0.749344597	50x dilution	NA18511	NA19160	19160_18511	00007
20170920-B04	20170920	B04	1	2.009546811	50x dilution	NA18511	NA19160	19160_18511	00055
20170920-B05	20170920	B05	1	2.346081845	50x dilution	NA18511	NA19160	19160_18511	00056
20170920-B06	20170920	B06	1	1.92876099	50x dilution	NA18511	NA19160	19160_18511	00057
20170920-B07	20170920	B07	2	0.525064798	50x dilution	NA18511	NA19160	19160_18511	00012
20170920-B08	20170920	B08	1	2.455572734	50x dilution	NA18511	NA19160	19160_18511	00011
20170920-B09	20170920	B09	1	2.481138429	50x dilution	NA18511	NA19160	19160_18511	00010
20170920-B10	20170920	B10	1	1.923988317	50x dilution	NA18511	NA19160	19160_18511	00058
20170920-B11	20170920	B11	1	2.139998488	50x dilution	NA18511	NA19160	19160_18511	00059
20170920-B12	20170920	B12	1	2.19749944	50x dilution	NA18511	NA19160	19160_18511	00060
20170920-C01	20170920	C01	1	2.324608849	50x dilution	NA18511	NA19160	19160_18511	00015
20170920-C02	20170920	C02	1	1.95162768	50x dilution	NA18511	NA19160	19160_18511	00014
20170920-C03	20170920	C03	1	2.042097688	50x dilution	NA18511	NA19160	19160_18511	00013
20170920-C04	20170920	C04	1	0.508872204	50x dilution	NA18511	NA19160	19160_18511	00061
20170920-C05	20170920	C05	1	2.180759951	50x dilution	NA18511	NA19160	19160_18511	00062
20170920-C06	20170920	C06	1	2.264342657	50x dilution	NA18511	NA19160	19160_18511	00063
20170920-C07	20170920	C07	1	2.13752744	50x dilution	NA18511	NA19160	19160_18511	00018
20170920-C08	20170920	C08	1	1.124129017	50x dilution	NA18511	NA19160	19160_18511	00017
20170920-C09	20170920	C09	1	1.909824894	50x dilution	NA18511	NA19160	19160_18511	00016
20170920-C10	20170920	C10	1	0.634640517	50x dilution	NA18511	NA19160	19160_18511	00064
20170920-C11	20170920	C11	1	2.088261752	50x dilution	NA18511	NA19160	19160_18511	00065
20170920-C12	20170920	C12	1	1.839363858	50x dilution	NA18511	NA19160	19160_18511	00066
20170920-D01	20170920	D01	1	0.57599677	50x dilution	NA18511	NA19160	19160_18511	00021
20170920-D02	20170920	D02	1	1.724833907	50x dilution	NA18511	NA19160	19160_18511	00020
20170920-D03	20170920	D03	1	2.188825952	50x dilution	NA18511	NA19160	19160_18511	00019
20170920-D04	20170920	D04	3	1.577848	50x dilution	NA18511	NA19160	19160_18511	00067
20170920-D05	20170920	D05	1	1.377052701	50x dilution	NA18511	NA19160	19160_18511	00068
20170920-D06	20170920	D06	1	2.589604304	50x dilution	NA18511	NA19160	19160_18511	00069
20170920-D07	20170920	D07	1	1.204905854	50x dilution	NA18511	NA19160	19160_18511	00024
20170920-D08	20170920	D08	1	2.439715034	50x dilution	NA18511	NA19160	19160_18511	00023
20170920-D09	20170920	D09	1	2.275710649	50x dilution	NA18511	NA19160	19160_18511	00022
20170920-D10	20170920	D10	4	1.377129382	50x dilution	NA18511	NA19160	19160_18511	00070
20170920-D11	20170920	D11	2	2.318985573	50x dilution	NA18511	NA19160	19160_18511	00071
20170920-D12	20170920	D12	1	2.082955707	50x dilution	NA18511	NA19160	19160_18511	00072
20170920-E01	20170920	E01	1	0.772935503	50x dilution	NA18511	NA19160	19160_18511	00025
20170920-E02	20170920	E02	1	1.918990041	50x dilution	NA18511	NA19160	19160_18511	00026
20170920-E03	20170920	E03	3	2.527456728	50x dilution	NA18511	NA19160	19160_18511	00027
20170920-E04	20170920	E04	1	2.049998077	50x dilution	NA18511	NA19160	19160_18511	00075
20170920-E05	20170920	E05	1	2.793398956	50x dilution	NA18511	NA19160	19160_18511	00074
20170920-E06	20170920	E06	1	2.415676343	50x dilution	NA18511	NA19160	19160_18511	00073
20170920-E07	20170920	E07	2	1.145332971	50x dilution	NA18511	NA19160	19160_18511	00028
20170920-E08	20170920	E08	1	0.590530933	50x dilution	NA18511	NA19160	19160_18511	00029
20170920-E09	20170920	E09	2	1.013851787	50x dilution	NA18511	NA19160	19160_18511	00030
20170920-E10	20170920	E10	1	2.514447542	50x dilution	NA18511	NA19160	19160_18511	00078
20170920-E11	20170920	E11	1	2.14285946	50x dilution	NA18511	NA19160	19160_18511	00077
20170920-E12	20170920	E12	1	0.742243334	50x dilution	NA18511	NA19160	19160_18511	00076
20170920-F01	20170920	F01	1	1.395954555	50x dilution	NA18511	NA19160	19160_18511	00031
20170920-F02	20170920	F02	1	1.416743521	50x dilution	NA18511	NA19160	19160_18511	00032
20170920-F03	20170920	F03	4	1.530960339	50x dilution	NA18511	NA19160	19160_18511	00033
20170920-F04	20170920	F04	2	2.718412786	50x dilution	NA18511	NA19160	19160_18511	00081
20170920-F05	20170920	F05	1	2.481880668	50x dilution	NA18511	NA19160	19160_18511	00080
20170920-F06	20170920	F06	1	2.464447776	50x dilution	NA18511	NA19160	19160_18511	00079
20170920-F07	20170920	F07	1	2.322105633	50x dilution	NA18511	NA19160	19160_18511	00034
20170920-F08	20170920	F08	6	2.146122764	50x dilution	NA18511	NA19160	19160_18511	00035
20170920-F09	20170920	F09	1	0.918404641	50x dilution	NA18511	NA19160	19160_18511	00036
20170920-F10	20170920	F10	1	2.44418227	50x dilution	NA18511	NA19160	19160_18511	00084
20170920-F11	20170920	F11	1	2.382030177	50x dilution	NA18511	NA19160	19160_18511	00083
20170920-F12	20170920	F12	1	2.591799344	50x dilution	NA18511	NA19160	19160_18511	00082
20170920-G01	20170920	G01	1	1.889958862	50x dilution	NA18511	NA19160	19160_18511	00037
20170920-G02	20170920	G02	1	0.54347643	50x dilution	NA18511	NA19160	19160_18511	00038
20170920-G03	20170920	G03	1	0.61038127	50x dilution	NA18511	NA19160	19160_18511	00039
20170920-G04	20170920	G04	4	1.921250892	50x dilution	NA18511	NA19160	19160_18511	00087
20170920-G05	20170920	G05	1	2.842672007	50x dilution	NA18511	NA19160	19160_18511	00086
20170920-G06	20170920	G06	1	2.277944594	50x dilution	NA18511	NA19160	19160_18511	00085
20170920-G07	20170920	G07	2	2.391486217	50x dilution	NA18511	NA19160	19160_18511	00040
20170920-G08	20170920	G08	1	0.881405902	50x dilution	NA18511	NA19160	19160_18511	00041
20170920-G09	20170920	G09	1	2.624820877	50x dilution	NA18511	NA19160	19160_18511	00042
20170920-G10	20170920	G10	1	0.617855471	50x dilution	NA18511	NA19160	19160_18511	00090
20170920-G11	20170920	G11	1	0.772882422	50x dilution	NA18511	NA19160	19160_18511	00089
20170920-G12	20170920	G12	1	2.161616694	50x dilution	NA18511	NA19160	19160_18511	00088
20170920-H01	20170920	H01	1	2.593352131	50x dilution	NA18511	NA19160	19160_18511	00043
20170920-H02	20170920	H02	2	2.159450369	50x dilution	NA18511	NA19160	19160_18511	00044
20170920-H03	20170920	H03	1	1.07062324	50x dilution	NA18511	NA19160	19160_18511	00045
20170920-H04	20170920	H04	1	2.551661801	50x dilution	NA18511	NA19160	19160_18511	00093
20170920-H05	20170920	H05	1	0.563901896	50x dilution	NA18511	NA19160	19160_18511	00092
20170920-H06	20170920	H06	1	2.627822516	50x dilution	NA18511	NA19160	19160_18511	00091
20170920-H07	20170920	H07	3	2.093704685	50x dilution	NA18511	NA19160	19160_18511	00046
20170920-H08	20170920	H08	1	2.496463887	50x dilution	NA18511	NA19160	19160_18511	00047
20170920-H09	20170920	H09	2	1.108001297	50x dilution	NA18511	NA19160	19160_18511	00048
20170920-H10	20170920	H10	1	2.333229948	50x dilution	NA18511	NA19160	19160_18511	00096
20170920-H11	20170920	H11	1	2.819878744	50x dilution	NA18511	NA19160	19160_18511	00095
20170920-H12	20170920	H12	1	2.241843814	50x dilution	NA18511	NA19160	19160_18511	00094
