sample	experiment	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual	image_label
20170913-A01	20170913	A01	1	1.511071033	50x dilution	NA18855	NA19160	18855_19160	00003
20170913-A02	20170913	A02	1	0.98372926	50x dilution	NA18855	NA19160	18855_19160	00002
20170913-A03	20170913	A03	1	0.52580711	50x dilution	NA18855	NA19160	18855_19160	00001
20170913-A04	20170913	A04	1	1.385802116	50x dilution	NA18855	NA19160	18855_19160	00049
20170913-A05	20170913	A05	1	0.921591555	50x dilution	NA18855	NA19160	18855_19160	00050
20170913-A06	20170913	A06	1	0.846375755	50x dilution	NA18855	NA19160	18855_19160	00051
20170913-A07	20170913	A07	1	0.496931294	50x dilution	NA18855	NA19160	18855_19160	00006
20170913-A08	20170913	A08	1	0.840926818	50x dilution	NA18855	NA19160	18855_19160	00005
20170913-A09	20170913	A09	1	1.135218758	50x dilution	NA18855	NA19160	18855_19160	00004
20170913-A10	20170913	A10	2	0.827773325	50x dilution	NA18855	NA19160	18855_19160	00052
20170913-A11	20170913	A11	1	0.673010427	50x dilution	NA18855	NA19160	18855_19160	00053
20170913-A12	20170913	A12	1	1.481304339	50x dilution	NA18855	NA19160	18855_19160	00054
20170913-B01	20170913	B01	1	0.574292935	50x dilution	NA18855	NA19160	18855_19160	00009
20170913-B02	20170913	B02	1	0.926576868	50x dilution	NA18855	NA19160	18855_19160	00008
20170913-B03	20170913	B03	2	1.13587081	50x dilution	NA18855	NA19160	18855_19160	00007
20170913-B04	20170913	B04	1	1.495101963	50x dilution	NA18855	NA19160	18855_19160	00055
20170913-B05	20170913	B05	1	1.290119414	50x dilution	NA18855	NA19160	18855_19160	00056
20170913-B06	20170913	B06	1	1.923013843	50x dilution	NA18855	NA19160	18855_19160	00057
20170913-B07	20170913	B07	1	1.227002572	50x dilution	NA18855	NA19160	18855_19160	00012
20170913-B08	20170913	B08	1	1.094982321	50x dilution	NA18855	NA19160	18855_19160	00011
20170913-B09	20170913	B09	1	1.577196394	50x dilution	NA18855	NA19160	18855_19160	00010
20170913-B10	20170913	B10	3	1.594651062	50x dilution	NA18855	NA19160	18855_19160	00058
