sample	experiment	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual	image_label
20170917-F08	20170917	F08	1	2.654481198	50x dilution	NA19098	NA19160	19098_19160	00035
20170917-F09	20170917	F09	1	1.180403932	50x dilution	NA19098	NA19160	19098_19160	00036
20170917-F10	20170917	F10	0	0.208845173	50x dilution	NA19098	NA19160	19098_19160	00084
20170917-F11	20170917	F11	1	2.54911592	50x dilution	NA19098	NA19160	19098_19160	00083
20170917-F12	20170917	F12	1	2.443875601	50x dilution	NA19098	NA19160	19098_19160	00082
20170917-G01	20170917	G01	1	1.372234337	50x dilution	NA19098	NA19160	19098_19160	00037
20170917-G02	20170917	G02	1	1.828632124	50x dilution	NA19098	NA19160	19098_19160	00038
20170917-G03	20170917	G03	1	0.578672536	50x dilution	NA19098	NA19160	19098_19160	00039
20170917-G04	20170917	G04	1	2.395429342	50x dilution	NA19098	NA19160	19098_19160	00087
20170917-G05	20170917	G05	1	2.313987542	50x dilution	NA19098	NA19160	19098_19160	00086
20170917-G06	20170917	G06	1	2.4693834	50x dilution	NA19098	NA19160	19098_19160	00085
20170917-G07	20170917	G07	1	0.727677314	50x dilution	NA19098	NA19160	19098_19160	00040
20170917-G08	20170917	G08	2	2.023711086	50x dilution	NA19098	NA19160	19098_19160	00041
20170917-G09	20170917	G09	1	2.472062158	50x dilution	NA19098	NA19160	19098_19160	00042
20170917-G10	20170917	G10	2	2.630487275	50x dilution	NA19098	NA19160	19098_19160	00090
20170917-G11	20170917	G11	1	1.912350085	50x dilution	NA19098	NA19160	19098_19160	00089
20170917-G12	20170917	G12	1	0.619005056	50x dilution	NA19098	NA19160	19098_19160	00088
20170917-H01	20170917	H01	1	0.596544558	50x dilution	NA19098	NA19160	19098_19160	00043
20170917-H02	20170917	H02	1	0.683562088	50x dilution	NA19098	NA19160	19098_19160	00044
20170917-H03	20170917	H03	3	1.718690019	50x dilution	NA19098	NA19160	19098_19160	00045
20170917-H04	20170917	H04	1	2.36291511	50x dilution	NA19098	NA19160	19098_19160	00093
20170917-H05	20170917	H05	1	1.668242094	50x dilution	NA19098	NA19160	19098_19160	00092
20170917-H06	20170917	H06	1	2.369821374	50x dilution	NA19098	NA19160	19098_19160	00091
20170917-H07	20170917	H07	1	2.773842033	50x dilution	NA19098	NA19160	19098_19160	00046
20170917-H08	20170917	H08	2	2.030835598	50x dilution	NA19098	NA19160	19098_19160	00047
20170917-H09	20170917	H09	1	2.6132227	50x dilution	NA19098	NA19160	19098_19160	00048
20170917-H10	20170917	H10	1	2.010308014	50x dilution	NA19098	NA19160	19098_19160	00096
20170917-H11	20170917	H11	1	0.671771505	50x dilution	NA19098	NA19160	19098_19160	00095
20170917-H12	20170917	H12	1	0.993191485	50x dilution	NA19098	NA19160	19098_19160	00094
