sample	experiment	well	cell_number	concentration	ERCC	individual.1	individual.2
20170907-G12	20170907	G12	1	2.306477198	50x dilution	NA18855	NA19098
20170907-H01	20170907	H01	1	0.977839743	50x dilution	NA18855	NA19098
20170907-H02	20170907	H02	1	2.434981985	50x dilution	NA18855	NA19098
20170907-H03	20170907	H03	1	0.538995342	50x dilution	NA18855	NA19098
20170907-H04	20170907	H04	1	1.544645998	50x dilution	NA18855	NA19098
20170907-H05	20170907	H05	1	2.021873427	50x dilution	NA18855	NA19098
20170907-H06	20170907	H06	1	2.044371915	50x dilution	NA18855	NA19098
20170907-H07	20170907	H07	1	0.894350138	50x dilution	NA18855	NA19098
20170907-H08	20170907	H08	1	0.495470936	50x dilution	NA18855	NA19098
20170907-H09	20170907	H09	1	0.537108177	50x dilution	NA18855	NA19098
20170907-H10	20170907	H10	1	1.804099466	50x dilution	NA18855	NA19098
20170907-H11	20170907	H11	1	2.317446055	50x dilution	NA18855	NA19098
20170907-H12	20170907	H12	1	0.413244477	50x dilution	NA18855	NA19098
