sample	experiment	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual	image_label
20170910-A01	20170910	A01	1	0.631448288	50x dilution	NA18855	NA19101	18855_19101	00003
20170910-A02	20170910	A02	1	1.629486005	50x dilution	NA18855	NA19101	18855_19101	00002
20170910-A03	20170910	A03	1	0.454307582	50x dilution	NA18855	NA19101	18855_19101	00001
20170910-A04	20170910	A04	4	0.710941907	50x dilution	NA18855	NA19101	18855_19101	00049
20170910-A05	20170910	A05	1	0.918214441	50x dilution	NA18855	NA19101	18855_19101	00050
20170910-A06	20170910	A06	2	1.716152296	50x dilution	NA18855	NA19101	18855_19101	00051
20170910-A07	20170910	A07	1	1.547018379	50x dilution	NA18855	NA19101	18855_19101	00006
20170910-A08	20170910	A08	1	1.607967438	50x dilution	NA18855	NA19101	18855_19101	00005
20170910-A09	20170910	A09	1	0.533381295	50x dilution	NA18855	NA19101	18855_19101	00004
20170910-A10	20170910	A10	1	1.671869456	50x dilution	NA18855	NA19101	18855_19101	00052
20170910-A11	20170910	A11	1	1.645140463	50x dilution	NA18855	NA19101	18855_19101	00053
20170910-A12	20170910	A12	2	1.611132354	50x dilution	NA18855	NA19101	18855_19101	00054
20170910-B01	20170910	B01	1	1.957774363	50x dilution	NA18855	NA19101	18855_19101	00009
20170910-B02	20170910	B02	2	0.741020349	50x dilution	NA18855	NA19101	18855_19101	00008
20170910-B03	20170910	B03	1	1.488620193	50x dilution	NA18855	NA19101	18855_19101	00007
20170910-B04	20170910	B04	1	2.011850667	50x dilution	NA18855	NA19101	18855_19101	00055
20170910-B05	20170910	B05	1	1.687922273	50x dilution	NA18855	NA19101	18855_19101	00056
20170910-B06	20170910	B06	1	1.826521442	50x dilution	NA18855	NA19101	18855_19101	00057
20170910-B07	20170910	B07	1	1.639429338	50x dilution	NA18855	NA19101	18855_19101	00012
20170910-B08	20170910	B08	2	1.724879156	50x dilution	NA18855	NA19101	18855_19101	00011
20170910-B09	20170910	B09	6	0.543631455	50x dilution	NA18855	NA19101	18855_19101	00010
20170910-B10	20170910	B10	5	0.676507454	50x dilution	NA18855	NA19101	18855_19101	00058
20170910-B11	20170910	B11	1	1.922510611	50x dilution	NA18855	NA19101	18855_19101	00059
20170910-B12	20170910	B12	1	2.001121008	50x dilution	NA18855	NA19101	18855_19101	00060
20170910-C01	20170910	C01	1	1.483439744	50x dilution	NA18855	NA19101	18855_19101	00015
20170910-C02	20170910	C02	1	1.016497327	50x dilution	NA18855	NA19101	18855_19101	00014
20170910-C03	20170910	C03	3	1.476354764	50x dilution	NA18855	NA19101	18855_19101	00013
20170910-C04	20170910	C04	2	0.546898408	50x dilution	NA18855	NA19101	18855_19101	00061
20170910-C05	20170910	C05	1	0.616202218	50x dilution	NA18855	NA19101	18855_19101	00062
20170910-C06	20170910	C06	1	1.076327854	50x dilution	NA18855	NA19101	18855_19101	00063
20170910-C07	20170910	C07	1	1.737093281	50x dilution	NA18855	NA19101	18855_19101	00018
20170910-C08	20170910	C08	1	1.695423413	50x dilution	NA18855	NA19101	18855_19101	00017
20170910-C09	20170910	C09	1	0.440761072	50x dilution	NA18855	NA19101	18855_19101	00016
20170910-C10	20170910	C10	1	0.604776816	50x dilution	NA18855	NA19101	18855_19101	00064
20170910-C11	20170910	C11	1	0.700957744	50x dilution	NA18855	NA19101	18855_19101	00065
20170910-C12	20170910	C12	1	1.095454833	50x dilution	NA18855	NA19101	18855_19101	00066
