sample	experiment	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual	image_label
20170922-A01	20170922	A01	1	1.095208822	50x dilution	NA18511	NA18870	18870_18511	00003
20170922-A02	20170922	A02	1	0.935228523	50x dilution	NA18511	NA18870	18870_18511	00002
20170922-A03	20170922	A03	2	1.172252503	50x dilution	NA18511	NA18870	18870_18511	00001
20170922-A04	20170922	A04	1	1.087749362	50x dilution	NA18511	NA18870	18870_18511	00049
20170922-A05	20170922	A05	1	1.482464058	50x dilution	NA18511	NA18870	18870_18511	00050
20170922-A06	20170922	A06	1	0.851770562	50x dilution	NA18511	NA18870	18870_18511	00051
20170922-A07	20170922	A07	1	1.090341781	50x dilution	NA18511	NA18870	18870_18511	00006
20170922-A08	20170922	A08	1	0.458896836	50x dilution	NA18511	NA18870	18870_18511	00005
20170922-A09	20170922	A09	1	0.768534916	50x dilution	NA18511	NA18870	18870_18511	00004
20170922-A10	20170922	A10	1	1.525896265	50x dilution	NA18511	NA18870	18870_18511	00052
20170922-A11	20170922	A11	3	0.617396584	50x dilution	NA18511	NA18870	18870_18511	00053
20170922-A12	20170922	A12	3	0.922350141	50x dilution	NA18511	NA18870	18870_18511	00054
20170922-B01	20170922	B01	1	0.601174625	50x dilution	NA18511	NA18870	18870_18511	00009
20170922-B02	20170922	B02	1	1.863938004	50x dilution	NA18511	NA18870	18870_18511	00008
20170922-B03	20170922	B03	1	2.437876892	50x dilution	NA18511	NA18870	18870_18511	00007
20170922-B04	20170922	B04	1	2.329431872	50x dilution	NA18511	NA18870	18870_18511	00055
20170922-B05	20170922	B05	1	1.365253539	50x dilution	NA18511	NA18870	18870_18511	00056
20170922-B06	20170922	B06	1	2.02629881	50x dilution	NA18511	NA18870	18870_18511	00057
20170922-B07	20170922	B07	1	1.796431539	50x dilution	NA18511	NA18870	18870_18511	00012
20170922-B08	20170922	B08	1	1.330091764	50x dilution	NA18511	NA18870	18870_18511	00011
20170922-B09	20170922	B09	1	0.619993619	50x dilution	NA18511	NA18870	18870_18511	00010
20170922-B10	20170922	B10	1	2.047567881	50x dilution	NA18511	NA18870	18870_18511	00058
20170922-B11	20170922	B11	1	1.544569164	50x dilution	NA18511	NA18870	18870_18511	00059
20170922-B12	20170922	B12	0	0.26192135	50x dilution	NA18511	NA18870	18870_18511	00060
20170922-C01	20170922	C01	1	1.508289731	50x dilution	NA18511	NA18870	18870_18511	00015
20170922-C02	20170922	C02	1	1.295032623	50x dilution	NA18511	NA18870	18870_18511	00014
20170922-C03	20170922	C03	1	2.206066519	50x dilution	NA18511	NA18870	18870_18511	00013
20170922-C04	20170922	C04	1	1.400443184	50x dilution	NA18511	NA18870	18870_18511	00061
20170922-C05	20170922	C05	1	0.57097989	50x dilution	NA18511	NA18870	18870_18511	00062
20170922-C06	20170922	C06	1	1.730322555	50x dilution	NA18511	NA18870	18870_18511	00063
20170922-C07	20170922	C07	1	0.816791126	50x dilution	NA18511	NA18870	18870_18511	00018
20170922-C08	20170922	C08	1	1.103637779	50x dilution	NA18511	NA18870	18870_18511	00017
20170922-C09	20170922	C09	1	1.401544356	50x dilution	NA18511	NA18870	18870_18511	00016
20170922-C10	20170922	C10	1	0.454793979	50x dilution	NA18511	NA18870	18870_18511	00064
20170922-C11	20170922	C11	1	1.300943561	50x dilution	NA18511	NA18870	18870_18511	00065
20170922-C12	20170922	C12	1	0.274892238	50x dilution	NA18511	NA18870	18870_18511	00066
20170922-D01	20170922	D01	1	0.840599603	50x dilution	NA18511	NA18870	18870_18511	00021
20170922-D02	20170922	D02	2	2.006371722	50x dilution	NA18511	NA18870	18870_18511	00020
20170922-D03	20170922	D03	1	2.122504936	50x dilution	NA18511	NA18870	18870_18511	00019
20170922-D04	20170922	D04	1	2.117958748	50x dilution	NA18511	NA18870	18870_18511	00067
20170922-D05	20170922	D05	1	0.674005756	50x dilution	NA18511	NA18870	18870_18511	00068
20170922-D06	20170922	D06	1	1.166425737	50x dilution	NA18511	NA18870	18870_18511	00069
20170922-D07	20170922	D07	1	1.462353509	50x dilution	NA18511	NA18870	18870_18511	00024
20170922-D08	20170922	D08	1	1.593186592	50x dilution	NA18511	NA18870	18870_18511	00023
20170922-D09	20170922	D09	1	1.759697808	50x dilution	NA18511	NA18870	18870_18511	00022
20170922-D10	20170922	D10	1	2.22206157	50x dilution	NA18511	NA18870	18870_18511	00070
20170922-D11	20170922	D11	1	1.192741512	50x dilution	NA18511	NA18870	18870_18511	00071
20170922-D12	20170922	D12	1	1.481948422	50x dilution	NA18511	NA18870	18870_18511	00072
20170922-E01	20170922	E01	3	0.782995783	50x dilution	NA18511	NA18870	18870_18511	00025
20170922-E02	20170922	E02	1	1.8268609	50x dilution	NA18511	NA18870	18870_18511	00026
20170922-E03	20170922	E03	1	1.147066487	50x dilution	NA18511	NA18870	18870_18511	00027
20170922-E04	20170922	E04	1	1.801126269	50x dilution	NA18511	NA18870	18870_18511	00075
20170922-E05	20170922	E05	1	2.019715489	50x dilution	NA18511	NA18870	18870_18511	00074
20170922-E06	20170922	E06	1	2.097743482	50x dilution	NA18511	NA18870	18870_18511	00073
20170922-E07	20170922	E07	1	1.308344726	50x dilution	NA18511	NA18870	18870_18511	00028
20170922-E08	20170922	E08	1	2.188367537	50x dilution	NA18511	NA18870	18870_18511	00029
20170922-E09	20170922	E09	1	2.211205663	50x dilution	NA18511	NA18870	18870_18511	00030
20170922-E10	20170922	E10	1	1.933129623	50x dilution	NA18511	NA18870	18870_18511	00078
20170922-E11	20170922	E11	1	1.486830073	50x dilution	NA18511	NA18870	18870_18511	00077
20170922-E12	20170922	E12	1	1.324963236	50x dilution	NA18511	NA18870	18870_18511	00076
20170922-F01	20170922	F01	0	0.269079163	50x dilution	NA18511	NA18870	18870_18511	00031
20170922-F02	20170922	F02	1	0.249429257	50x dilution	NA18511	NA18870	18870_18511	00032
20170922-F03	20170922	F03	1	0.554890993	50x dilution	NA18511	NA18870	18870_18511	00033
20170922-F04	20170922	F04	1	1.714759693	50x dilution	NA18511	NA18870	18870_18511	00081
20170922-F05	20170922	F05	1	2.090427133	50x dilution	NA18511	NA18870	18870_18511	00080
20170922-F06	20170922	F06	1	2.22592221	50x dilution	NA18511	NA18870	18870_18511	00079
20170922-F07	20170922	F07	4	1.171736675	50x dilution	NA18511	NA18870	18870_18511	00034
20170922-F08	20170922	F08	3	0.886050823	50x dilution	NA18511	NA18870	18870_18511	00035
20170922-F09	20170922	F09	3	0.463317088	50x dilution	NA18511	NA18870	18870_18511	00036
20170922-F10	20170922	F10	1	1.638766336	50x dilution	NA18511	NA18870	18870_18511	00084
20170922-F11	20170922	F11	1	1.160198866	50x dilution	NA18511	NA18870	18870_18511	00083
20170922-F12	20170922	F12	1	1.708837105	50x dilution	NA18511	NA18870	18870_18511	00082
20170922-G01	20170922	G01	1	1.083837231	50x dilution	NA18511	NA18870	18870_18511	00037
20170922-G02	20170922	G02	1	0.354990814	50x dilution	NA18511	NA18870	18870_18511	00038
20170922-G03	20170922	G03	1	0.433721277	50x dilution	NA18511	NA18870	18870_18511	00039
20170922-G04	20170922	G04	1	1.360639663	50x dilution	NA18511	NA18870	18870_18511	00087
20170922-G05	20170922	G05	1	1.569044559	50x dilution	NA18511	NA18870	18870_18511	00086
20170922-G06	20170922	G06	1	2.308685213	50x dilution	NA18511	NA18870	18870_18511	00085
20170922-G07	20170922	G07	1	0.478337116	50x dilution	NA18511	NA18870	18870_18511	00040
20170922-G08	20170922	G08	1	0.413301916	50x dilution	NA18511	NA18870	18870_18511	00041
20170922-G09	20170922	G09	1	0.618289436	50x dilution	NA18511	NA18870	18870_18511	00042
20170922-G10	20170922	G10	1	2.272068017	50x dilution	NA18511	NA18870	18870_18511	00090
20170922-G11	20170922	G11	1	1.31967524	50x dilution	NA18511	NA18870	18870_18511	00089
20170922-G12	20170922	G12	1	1.660295839	50x dilution	NA18511	NA18870	18870_18511	00088
20170922-H01	20170922	H01	1	2.20640993	50x dilution	NA18511	NA18870	18870_18511	00043
20170922-H02	20170922	H02	2	1.666695337	50x dilution	NA18511	NA18870	18870_18511	00044
20170922-H03	20170922	H03	1	2.738637783	50x dilution	NA18511	NA18870	18870_18511	00045
20170922-H04	20170922	H04	1	0.761685928	50x dilution	NA18511	NA18870	18870_18511	00093
20170922-H05	20170922	H05	1	2.722850009	50x dilution	NA18511	NA18870	18870_18511	00092
20170922-H06	20170922	H06	1	1.756786871	50x dilution	NA18511	NA18870	18870_18511	00091
20170922-H07	20170922	H07	1	0.682262855	50x dilution	NA18511	NA18870	18870_18511	00046
20170922-H08	20170922	H08	5	0.863843005	50x dilution	NA18511	NA18870	18870_18511	00047
20170922-H09	20170922	H09	1	0.41400945	50x dilution	NA18511	NA18870	18870_18511	00048
20170922-H10	20170922	H10	1	0.505103045	50x dilution	NA18511	NA18870	18870_18511	00096
20170922-H11	20170922	H11	1	1.438071159	50x dilution	NA18511	NA18870	18870_18511	00095
20170922-H12	20170922	H12	1	1.446719114	50x dilution	NA18511	NA18870	18870_18511	00094
