sample	experiment	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual	image_label
20170924-A01	20170924	A01	1	1.687579487	50x dilution	NA18870	NA19160	19160_18870	00003
20170924-A02	20170924	A02	1	0.121414142	50x dilution	NA18870	NA19160	19160_18870	00002
20170924-A03	20170924	A03	1	2.213132519	50x dilution	NA18870	NA19160	19160_18870	00001
20170924-A04	20170924	A04	1	0.985682477	50x dilution	NA18870	NA19160	19160_18870	00049
20170924-A05	20170924	A05	2	1.728674204	50x dilution	NA18870	NA19160	19160_18870	00050
20170924-A06	20170924	A06	1	1.251604387	50x dilution	NA18870	NA19160	19160_18870	00051
20170924-A07	20170924	A07	3	2.649744373	50x dilution	NA18870	NA19160	19160_18870	00006
20170924-A08	20170924	A08	1	0.252540165	50x dilution	NA18870	NA19160	19160_18870	00005
20170924-A09	20170924	A09	1	1.52069684	50x dilution	NA18870	NA19160	19160_18870	00004
20170924-A10	20170924	A10	1	1.206292758	50x dilution	NA18870	NA19160	19160_18870	00052
20170924-A11	20170924	A11	1	0.151797852	50x dilution	NA18870	NA19160	19160_18870	00053
20170924-A12	20170924	A12	4	2.702200142	50x dilution	NA18870	NA19160	19160_18870	00054
20170924-B01	20170924	B01	1	1.011426131	50x dilution	NA18870	NA19160	19160_18870	00009
20170924-B02	20170924	B02	1	2.261284615	50x dilution	NA18870	NA19160	19160_18870	00008
20170924-B03	20170924	B03	1	1.50053285	50x dilution	NA18870	NA19160	19160_18870	00007
20170924-B04	20170924	B04	1	2.165392089	50x dilution	NA18870	NA19160	19160_18870	00055
20170924-B05	20170924	B05	1	2.260294441	50x dilution	NA18870	NA19160	19160_18870	00056
20170924-B06	20170924	B06	1	1.584052268	50x dilution	NA18870	NA19160	19160_18870	00057
20170924-B07	20170924	B07	1	1.854227896	50x dilution	NA18870	NA19160	19160_18870	00012
20170924-B08	20170924	B08	1	1.566426895	50x dilution	NA18870	NA19160	19160_18870	00011
20170924-B09	20170924	B09	1	1.446377197	50x dilution	NA18870	NA19160	19160_18870	00010
20170924-B10	20170924	B10	3	1.314931446	50x dilution	NA18870	NA19160	19160_18870	00058
20170924-B11	20170924	B11	1	1.409526029	50x dilution	NA18870	NA19160	19160_18870	00059
20170924-B12	20170924	B12	1	2.912866503	50x dilution	NA18870	NA19160	19160_18870	00060
20170924-C01	20170924	C01	1	2.243275913	50x dilution	NA18870	NA19160	19160_18870	00015
20170924-C02	20170924	C02	1	1.797104896	50x dilution	NA18870	NA19160	19160_18870	00014
20170924-C03	20170924	C03	1	1.996631303	50x dilution	NA18870	NA19160	19160_18870	00013
20170924-C04	20170924	C04	2	1.715825666	50x dilution	NA18870	NA19160	19160_18870	00061
20170924-C05	20170924	C05	1	2.263846485	50x dilution	NA18870	NA19160	19160_18870	00062
20170924-C06	20170924	C06	2	0.146022138	50x dilution	NA18870	NA19160	19160_18870	00063
20170924-C07	20170924	C07	1	0.282611244	50x dilution	NA18870	NA19160	19160_18870	00018
20170924-C08	20170924	C08	1	1.809768117	50x dilution	NA18870	NA19160	19160_18870	00017
20170924-C09	20170924	C09	1	2.51104975	50x dilution	NA18870	NA19160	19160_18870	00016
20170924-C10	20170924	C10	1	1.699729148	50x dilution	NA18870	NA19160	19160_18870	00064
20170924-C11	20170924	C11	1	2.164367372	50x dilution	NA18870	NA19160	19160_18870	00065
20170924-C12	20170924	C12	3	2.292530477	50x dilution	NA18870	NA19160	19160_18870	00066
20170924-D01	20170924	D01	1	1.364863458	50x dilution	NA18870	NA19160	19160_18870	00021
