sample	experiment	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual	image_label
20170916-A01	20170916	A01	1	2.28672269	50x dilution	NA18511	NA19101	19101_18511	00003
20170916-A02	20170916	A02	3	1.109549372	50x dilution	NA18511	NA19101	19101_18511	00002
20170916-A03	20170916	A03	1	1.768799958	50x dilution	NA18511	NA19101	19101_18511	00001
20170916-A04	20170916	A04	1	3.47591303	50x dilution	NA18511	NA19101	19101_18511	00049
20170916-A05	20170916	A05	1	0.832459934	50x dilution	NA18511	NA19101	19101_18511	00050
20170916-A06	20170916	A06	1	2.354630785	50x dilution	NA18511	NA19101	19101_18511	00051
20170916-A07	20170916	A07	1	1.292219384	50x dilution	NA18511	NA19101	19101_18511	00006
20170916-A08	20170916	A08	1	0.490068732	50x dilution	NA18511	NA19101	19101_18511	00005
20170916-A09	20170916	A09	2	1.232673411	50x dilution	NA18511	NA19101	19101_18511	00004
20170916-A10	20170916	A10	1	3.649955116	50x dilution	NA18511	NA19101	19101_18511	00052
20170916-A11	20170916	A11	3	1.148637167	50x dilution	NA18511	NA19101	19101_18511	00053
20170916-A12	20170916	A12	0	0.477807411	50x dilution	NA18511	NA19101	19101_18511	00054
20170916-B01	20170916	B01	1	4.697118297	50x dilution	NA18511	NA19101	19101_18511	00009
20170916-B02	20170916	B02	1	3.093400494	50x dilution	NA18511	NA19101	19101_18511	00008
20170916-B03	20170916	B03	1	3.67385601	50x dilution	NA18511	NA19101	19101_18511	00007
20170916-B04	20170916	B04	1	2.028269877	50x dilution	NA18511	NA19101	19101_18511	00055
20170916-B05	20170916	B05	0	1.245967532	50x dilution	NA18511	NA19101	19101_18511	00056
20170916-B06	20170916	B06	2	2.099339912	50x dilution	NA18511	NA19101	19101_18511	00057
20170916-B07	20170916	B07	1	0.552708025	50x dilution	NA18511	NA19101	19101_18511	00012
20170916-B08	20170916	B08	1	3.681414007	50x dilution	NA18511	NA19101	19101_18511	00011
20170916-B09	20170916	B09	1	3.112563146	50x dilution	NA18511	NA19101	19101_18511	00010
20170916-B10	20170916	B10	2	3.137572136	50x dilution	NA18511	NA19101	19101_18511	00058
20170916-B11	20170916	B11	1	3.45679232	50x dilution	NA18511	NA19101	19101_18511	00059
20170916-B12	20170916	B12	1	3.189041736	50x dilution	NA18511	NA19101	19101_18511	00060
20170916-C01	20170916	C01	2	2.87717095	50x dilution	NA18511	NA19101	19101_18511	00015
20170916-C02	20170916	C02	1	2.316585433	50x dilution	NA18511	NA19101	19101_18511	00014
20170916-C03	20170916	C03	1	1.667706161	50x dilution	NA18511	NA19101	19101_18511	00013
20170916-C04	20170916	C04	1	1.217243776	50x dilution	NA18511	NA19101	19101_18511	00061
20170916-C05	20170916	C05	2	3.628718413	50x dilution	NA18511	NA19101	19101_18511	00062
20170916-C06	20170916	C06	1	4.430262356	50x dilution	NA18511	NA19101	19101_18511	00063
20170916-C07	20170916	C07	1	3.267484032	50x dilution	NA18511	NA19101	19101_18511	00018
20170916-C08	20170916	C08	1	1.909788094	50x dilution	NA18511	NA19101	19101_18511	00017
20170916-C09	20170916	C09	1	1.209897276	50x dilution	NA18511	NA19101	19101_18511	00016
20170916-C10	20170916	C10	1	4.751968597	50x dilution	NA18511	NA19101	19101_18511	00064
20170916-C11	20170916	C11	1	3.911543353	50x dilution	NA18511	NA19101	19101_18511	00065
20170916-C12	20170916	C12	1	5.254526472	50x dilution	NA18511	NA19101	19101_18511	00066
20170916-D01	20170916	D01	3	3.299086486	50x dilution	NA18511	NA19101	19101_18511	00021
20170916-D02	20170916	D02	1	3.65081672	50x dilution	NA18511	NA19101	19101_18511	00020
20170916-D03	20170916	D03	1	2.188373109	50x dilution	NA18511	NA19101	19101_18511	00019
20170916-D04	20170916	D04	3	3.718292963	50x dilution	NA18511	NA19101	19101_18511	00067
20170916-D05	20170916	D05	1	2.930487773	50x dilution	NA18511	NA19101	19101_18511	00068
20170916-D06	20170916	D06	3	2.450727468	50x dilution	NA18511	NA19101	19101_18511	00069
20170916-D07	20170916	D07	1	1.8523393	50x dilution	NA18511	NA19101	19101_18511	00024
20170916-D08	20170916	D08	1	2.360947919	50x dilution	NA18511	NA19101	19101_18511	00023
20170916-D09	20170916	D09	1	2.325372718	50x dilution	NA18511	NA19101	19101_18511	00022
20170916-D10	20170916	D10	1	3.226311088	50x dilution	NA18511	NA19101	19101_18511	00070
20170916-D11	20170916	D11	1	2.125548227	50x dilution	NA18511	NA19101	19101_18511	00071
20170916-D12	20170916	D12	1	2.782189214	50x dilution	NA18511	NA19101	19101_18511	00072
20170916-E01	20170916	E01	1	4.050073763	50x dilution	NA18511	NA19101	19101_18511	00025
20170916-E02	20170916	E02	1	2.414506796	50x dilution	NA18511	NA19101	19101_18511	00026
20170916-E03	20170916	E03	1	1.420977105	50x dilution	NA18511	NA19101	19101_18511	00027
20170916-E04	20170916	E04	1	4.660224746	50x dilution	NA18511	NA19101	19101_18511	00075
20170916-E05	20170916	E05	2	3.260312276	50x dilution	NA18511	NA19101	19101_18511	00074
20170916-E06	20170916	E06	1	1.356994811	50x dilution	NA18511	NA19101	19101_18511	00073
20170916-E07	20170916	E07	8	1.286788258	50x dilution	NA18511	NA19101	19101_18511	00028
20170916-E08	20170916	E08	1	0.975803062	50x dilution	NA18511	NA19101	19101_18511	00029
20170916-E09	20170916	E09	1	2.384444859	50x dilution	NA18511	NA19101	19101_18511	00030
20170916-E10	20170916	E10	1	4.221523451	50x dilution	NA18511	NA19101	19101_18511	00078
20170916-E11	20170916	E11	1	1.071015235	50x dilution	NA18511	NA19101	19101_18511	00077
20170916-E12	20170916	E12	1	3.290979221	50x dilution	NA18511	NA19101	19101_18511	00076
20170916-F01	20170916	F01	1	1.338173761	50x dilution	NA18511	NA19101	19101_18511	00031
20170916-F02	20170916	F02	1	1.547977457	50x dilution	NA18511	NA19101	19101_18511	00032
20170916-F03	20170916	F03	4	1.993131008	50x dilution	NA18511	NA19101	19101_18511	00033
20170916-F04	20170916	F04	1	0.365410113	50x dilution	NA18511	NA19101	19101_18511	00081
20170916-F05	20170916	F05	1	1.519677362	50x dilution	NA18511	NA19101	19101_18511	00080
20170916-F06	20170916	F06	1	3.784196151	50x dilution	NA18511	NA19101	19101_18511	00079
20170916-F07	20170916	F07	1	1.995018125	50x dilution	NA18511	NA19101	19101_18511	00034
20170916-F08	20170916	F08	1	2.176983982	50x dilution	NA18511	NA19101	19101_18511	00035
20170916-F09	20170916	F09	1	1.848455534	50x dilution	NA18511	NA19101	19101_18511	00036
20170916-F10	20170916	F10	1	2.563496791	50x dilution	NA18511	NA19101	19101_18511	00084
20170916-F11	20170916	F11	1	1.386465311	50x dilution	NA18511	NA19101	19101_18511	00083
20170916-F12	20170916	F12	1	4.521243578	50x dilution	NA18511	NA19101	19101_18511	00082
20170916-G01	20170916	G01	1	1.347731232	50x dilution	NA18511	NA19101	19101_18511	00037
20170916-G02	20170916	G02	1	2.508525034	50x dilution	NA18511	NA19101	19101_18511	00038
20170916-G03	20170916	G03	1	0.870350288	50x dilution	NA18511	NA19101	19101_18511	00039
20170916-G04	20170916	G04	1	1.793636958	50x dilution	NA18511	NA19101	19101_18511	00087
20170916-G05	20170916	G05	2	2.164987691	50x dilution	NA18511	NA19101	19101_18511	00086
20170916-G06	20170916	G06	1	2.964317504	50x dilution	NA18511	NA19101	19101_18511	00085
20170916-G07	20170916	G07	1	1.961787599	50x dilution	NA18511	NA19101	19101_18511	00040
20170916-G08	20170916	G08	5	3.028181574	50x dilution	NA18511	NA19101	19101_18511	00041
20170916-G09	20170916	G09	0	1.044441951	50x dilution	NA18511	NA19101	19101_18511	00042
20170916-G10	20170916	G10	1	0.888909336	50x dilution	NA18511	NA19101	19101_18511	00090
20170916-G11	20170916	G11	1	3.928640619	50x dilution	NA18511	NA19101	19101_18511	00089
20170916-G12	20170916	G12	2	1.88637606	50x dilution	NA18511	NA19101	19101_18511	00088
20170916-H01	20170916	H01	2	1.636355027	50x dilution	NA18511	NA19101	19101_18511	00043
20170916-H02	20170916	H02	1	4.882390356	50x dilution	NA18511	NA19101	19101_18511	00044
20170916-H03	20170916	H03	3	1.69845093	50x dilution	NA18511	NA19101	19101_18511	00045
20170916-H04	20170916	H04	1	4.818344021	50x dilution	NA18511	NA19101	19101_18511	00093
20170916-H05	20170916	H05	1	4.484973705	50x dilution	NA18511	NA19101	19101_18511	00092
20170916-H06	20170916	H06	1	3.698736132	50x dilution	NA18511	NA19101	19101_18511	00091
20170916-H07	20170916	H07	1	2.918307818	50x dilution	NA18511	NA19101	19101_18511	00046
20170916-H08	20170916	H08	3	1.716841193	50x dilution	NA18511	NA19101	19101_18511	00047
20170916-H09	20170916	H09	4	2.178020513	50x dilution	NA18511	NA19101	19101_18511	00048
