sample	experiment	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual	image_label
20170912-A01	20170912	A01	1	1.550032458	50x dilution	NA18870	NA19098	19098_18870	00003
20170912-A02	20170912	A02	1	1.580007769	50x dilution	NA18870	NA19098	19098_18870	00002
20170912-A03	20170912	A03	1	1.616004681	50x dilution	NA18870	NA19098	19098_18870	00001
20170912-A04	20170912	A04	1	0.552297884	50x dilution	NA18870	NA19098	19098_18870	00049
20170912-A05	20170912	A05	1	1.766695719	50x dilution	NA18870	NA19098	19098_18870	00050
20170912-A06	20170912	A06	1	0.160168181	50x dilution	NA18870	NA19098	19098_18870	00051
20170912-A07	20170912	A07	1	1.59573193	50x dilution	NA18870	NA19098	19098_18870	00006
20170912-A08	20170912	A08	2	0.834980116	50x dilution	NA18870	NA19098	19098_18870	00005
20170912-A09	20170912	A09	1	1.106836209	50x dilution	NA18870	NA19098	19098_18870	00004
20170912-A10	20170912	A10	0	0.180755958	50x dilution	NA18870	NA19098	19098_18870	00052
20170912-A11	20170912	A11	1	1.35614704	50x dilution	NA18870	NA19098	19098_18870	00053
20170912-A12	20170912	A12	1	1.644752769	50x dilution	NA18870	NA19098	19098_18870	00054
20170912-B01	20170912	B01	1	1.635092954	50x dilution	NA18870	NA19098	19098_18870	00009
20170912-B02	20170912	B02	1	1.333463079	50x dilution	NA18870	NA19098	19098_18870	00008
20170912-B03	20170912	B03	1	0.610541014	50x dilution	NA18870	NA19098	19098_18870	00007
20170912-B04	20170912	B04	1	1.491178739	50x dilution	NA18870	NA19098	19098_18870	00055
20170912-B05	20170912	B05	1	1.39483876	50x dilution	NA18870	NA19098	19098_18870	00056
20170912-B06	20170912	B06	1	1.621557398	50x dilution	NA18870	NA19098	19098_18870	00057
20170912-B07	20170912	B07	1	1.659049508	50x dilution	NA18870	NA19098	19098_18870	00012
20170912-B08	20170912	B08	1	0.560328407	50x dilution	NA18870	NA19098	19098_18870	00011
20170912-B09	20170912	B09	1	1.222897109	50x dilution	NA18870	NA19098	19098_18870	00010
20170912-B10	20170912	B10	1	1.501008445	50x dilution	NA18870	NA19098	19098_18870	00058
20170912-B11	20170912	B11	1	1.693893681	50x dilution	NA18870	NA19098	19098_18870	00059
20170912-B12	20170912	B12	1	1.827776964	50x dilution	NA18870	NA19098	19098_18870	00060
20170912-C01	20170912	C01	1	0.879692378	50x dilution	NA18870	NA19098	19098_18870	00015
20170912-C02	20170912	C02	1	1.906760835	50x dilution	NA18870	NA19098	19098_18870	00014
