sample	experiment	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual	image_label
20170908-A01	20170908	A01	1	1.989086544	50x dilution	NA18870	NA19101	18870_19101	00003
20170908-A02	20170908	A02	1	1.528944505	50x dilution	NA18870	NA19101	18870_19101	00002
20170908-A03	20170908	A03	1	2.334952449	50x dilution	NA18870	NA19101	18870_19101	00001
20170908-A04	20170908	A04	1	1.970529358	50x dilution	NA18870	NA19101	18870_19101	00049
20170908-A05	20170908	A05	2	2.555549116	50x dilution	NA18870	NA19101	18870_19101	00050
20170908-A06	20170908	A06	1	3.033883981	50x dilution	NA18870	NA19101	18870_19101	00051
20170908-A07	20170908	A07	1	3.139160863	50x dilution	NA18870	NA19101	18870_19101	00006
20170908-A08	20170908	A08	1	2.507137309	50x dilution	NA18870	NA19101	18870_19101	00005
20170908-A09	20170908	A09	1	2.774630676	50x dilution	NA18870	NA19101	18870_19101	00004
20170908-A10	20170908	A10	1	3.606597085	50x dilution	NA18870	NA19101	18870_19101	00052
20170908-A11	20170908	A11	1	3.587281576	50x dilution	NA18870	NA19101	18870_19101	00053
20170908-A12	20170908	A12	2	3.174724915	50x dilution	NA18870	NA19101	18870_19101	00054
20170908-B01	20170908	B01	0	0.476844253	50x dilution	NA18870	NA19101	18870_19101	00009
20170908-B02	20170908	B02	1	3.340062622	50x dilution	NA18870	NA19101	18870_19101	00008
20170908-B03	20170908	B03	1	2.152400191	50x dilution	NA18870	NA19101	18870_19101	00007
20170908-B04	20170908	B04	2	1.76783347	50x dilution	NA18870	NA19101	18870_19101	00055
20170908-B05	20170908	B05	1	3.828727552	50x dilution	NA18870	NA19101	18870_19101	00056
20170908-B06	20170908	B06	1	2.751179394	50x dilution	NA18870	NA19101	18870_19101	00057
20170908-B07	20170908	B07	1	3.579747881	50x dilution	NA18870	NA19101	18870_19101	00012
20170908-B08	20170908	B08	1	3.525292825	50x dilution	NA18870	NA19101	18870_19101	00011
20170908-B09	20170908	B09	1	3.603766163	50x dilution	NA18870	NA19101	18870_19101	00010
20170908-B10	20170908	B10	1	2.805248835	50x dilution	NA18870	NA19101	18870_19101	00058
20170908-B11	20170908	B11	1	3.171272893	50x dilution	NA18870	NA19101	18870_19101	00059
20170908-B12	20170908	B12	1	3.300169578	50x dilution	NA18870	NA19101	18870_19101	00060
20170908-C01	20170908	C01	1	4.103595899	50x dilution	NA18870	NA19101	18870_19101	00015
20170908-C02	20170908	C02	1	2.621954711	50x dilution	NA18870	NA19101	18870_19101	00014
20170908-C03	20170908	C03	1	2.818326771	50x dilution	NA18870	NA19101	18870_19101	00013
20170908-C04	20170908	C04	1	0.708723975	50x dilution	NA18870	NA19101	18870_19101	00061
